date,lesson,views,name
2020/07/17 21:09:11,1-0,8472,Welcome to Udacity
2020/07/17 21:09:11,1-1,4889,Why Machine Learning?
2020/07/17 21:09:11,1-2,4460,Course Overview
2020/07/17 21:09:11,2-0,4575,Lesson Overview
2020/07/17 21:09:11,2-1,4095,What is Machine Learning?
2020/07/17 21:09:11,2-2,3756,Applications of Machine Learning
2020/07/17 21:09:11,2-3,3411,Brief History of Machine Learning
2020/07/17 21:09:11,2-4,3068,The Data Science Process
2020/07/17 21:09:11,2-5,2896,Common Types of Data
2020/07/17 21:09:11,2-6,2455,Tabular Data
2020/07/17 21:09:11,2-7,2407,Tabular Data
2020/07/17 21:09:11,2-8,2527,Scaling Data
2020/07/17 21:09:11,2-9,2433,Encoding Categorical Data
2020/07/17 21:09:11,2-10,2418,Image Data
2020/07/17 21:09:11,2-11,2450,The Whole Pipeline
2020/07/17 21:09:11,2-12,2447,Two Perspectives on ML
2020/07/17 21:09:11,2-13,2312,The Computer Science Perspective
2020/07/17 21:09:11,2-14,2227,The Statistical Perspective
2020/07/17 21:09:11,2-15,2335,The Tools for Machine Learning
2020/07/17 21:09:11,2-16,2176,Libraries for Machine Learning
2020/07/17 21:09:11,2-17,2411,Cloud Services for Machine Learning
2020/07/17 21:09:11,2-18,2227,A Brief Intro to Azure Machine Learning
2020/07/17 21:09:11,2-19,2128,Models vs. Algorithms
2020/07/17 21:09:11,2-20,2174,Linear Regression
2020/07/17 21:09:11,2-21,2255,Walkthrough: Train a Linear Regression Model
2020/07/17 21:09:11,2-22,1586,Learning a function
2020/07/17 21:09:11,2-23,1651,Parametric vs. Non-parametric
2020/07/17 21:09:11,2-24,1560,Classical ML vs. Deep Learning
2020/07/17 21:09:11,2-25,1596,Approaches to Machine Learning
2020/07/17 21:09:11,2-26,1574,The Trade-Offs
2020/07/17 21:09:11,2-27,1459,Overfitting vs. Underfitting
2020/07/17 21:09:11,2-28,1427,Bias vs. Variance Trade-off
2020/07/17 21:09:11,2-29,1497,Lesson Summary
